,text,source,true_label,predict
190,MENTION4397 oh good lord. If only I had that kind of patience.,CallMe,0,0
191,"MENTION2717 yes, absolutely. Almost exclusively used against women that are arguing against men.",CallMe,0,0
192,"Sorry, I can't deal with men pouting in a selfie. Pouts and eyebrow arches. Men. Please. Don't.",CallMe,1,1
193,"'didn't blow my mind. it blew something else, if u know what i mean' #mkr",CallMe,0,0
194,#mkr http://t.co/GBC66NILLV,CallMe,0,0
195,"MENTION1373 if the only devs standing up are the ones that haven't made mistakes, all devs should be sitting down. ;)",CallMe,0,0
196,"It doesn’t seem quite right for a man to be a visionary, dreaming should be left to women",CallMe,1,1
197,MENTION1520 omg if I was cackling any harder at this douche I'd burst a lung,CallMe,0,0
198,I would much rather be waiting behind a dude for the bathroom than a lady.,CallMe,1,1
199,I really think people should make breakfast & dinner every day. Lunch is optional.,CallMe,0,0
200,#MKR so many tent and pole jokes tonight to make!,CallMe,0,0
201,"MENTION3226 anyway, i really don't find interest in watching high schoolers play football. i would rather watch the pros!",CallMe,0,0
202,MENTION2116 Fuck me hard with a rusty chainsaw!!! #MKR,CallMe,0,0
203,MENTION2792 MENTION369 not sure,CallMe,0,0
204,MENTION786 ready to run!!!!! Love the music choice. Good luck everyone #mkr,CallMe,0,0
205,What's Irene doing on #mkr?,CallMe,0,0
206,An aversion on the part of a wife to sex intimacy with her husband should be repressed for the good of the family,CallMe,1,1
207,1st female ref in tonights packers game. I don't think there is a place for that in the nfl.. unless they are lesbian.,CallMe,1,1
208,That's wrong they don't deserve to be eliminated. They did a lot better than Kat and Andre. It's disgusting  #mkr,CallMe,0,0
209,Don't why the hell do they invite old politicians on talkshows? They just shout..,CallMe,0,0
210,"girls shouldn't rap.. Example; Nicki M, and that chick in the Cody Simpson Video",CallMe,1,1
211,MENTION3656 I pay the bills in this household it's the least they can do,CallMe,0,0
212,"but that seems gross, and not really how this tool should be used. can do better w/other things, this is more for an overview.",CallMe,0,0
213,"MENTION992 I wish a bell would ring and confetti would rain down every time a sexist said ""it was a joke."" My bingo card is anticlimactic",CallMe,0,0
214,The puppy I almost got: https://t.co/uG9ruAz6BA,CallMe,0,0
215,"Sometimes I hope that CA does break off and become it's own island. I love it here, but damn. The system is rigged.",CallMe,0,0
216,I wudnt leave a child todo that gordon lol,CallMe,0,0
217,There is nothing a kid of good sense dreads in a friend so much as her having more sense than himself. - Fielding #ALDUB85thWeeksary ALDUB U,CallMe,0,0
218,As a woman it's never your place to think or act like a man. What man you think want a manly ass woman 😅,CallMe,1,1
219,amateur's football will never be as entertaining as professionals.,CallMe,0,0
220,"if you need a specific training segment for coaching grownup, it defeats the purpose of equality across the board...",CallMe,0,0
221,"Never thought I'd say this but I hope the butcher girls make it through tonight.

Because kat annoys me!

#MKR",CallMe,0,0
222,So many good looking dishes and also a few bad ones too. #MKR,CallMe,0,0
223,MENTION1914 We can fight against systemic problems at the same time as offering real tips for protecting people who don't have time 2 wait,CallMe,0,0
224,MENTION786 Jac and Shaz's pancakes look delicious #mkr #hungrycampers,CallMe,0,0
225,MENTION3959 MENTION3997 OF COURSE YOU ARE!,CallMe,0,0
226,"Calling someone sexist = worse than sexism. I'm glad of the daily allotment of male tears, though, they keep my skin fresh and dewy",CallMe,0,0
227,"MENTION1291 OH. MAYBE YOU WOULD KNOW. Hey, have you heard of anyone doing magnetic implants in fingertips in bay area?",CallMe,0,0
228,"RT MENTION4170: when I play Sims 3, I put my wifes bed in the kitchen :D",CallMe,1,1
229,wondering if there would be value in refusing to answer inquiries/provide quotes for press that insists upon quoting wadhwa. #stopwadhwa2015,CallMe,0,0
230,"MENTION1358 or perhaps twitter's userbase, and humanity at large. Everyone's a jerk sometimes.",CallMe,0,0
231,"I was taught to be a adult, stand on my ✌ feet just like a adult",CallMe,0,0
232,MENTION140 yes :P,CallMe,0,0
233,"MENTION568 MENTION1045 ...and whose definition is that anyway, Margaret S's?",CallMe,0,0
234,"My little chickeny thing was fantastic, and you cook? #mkr",CallMe,0,0
235,"however, twitter clients and web are supposed to have the same tools/exp. that's why devpolicy doesn't really encourage 3rd party clients.",CallMe,0,0
236,Wait.. Who respects Colin...  #mkr,CallMe,0,0
237,They should have called their restaurant Crumbs'R'Us ! #MKR,CallMe,0,0
238,"RT MENTION845 Now I'm not racist, and fully believe and support the idea of equality, but some races really cannot drive.",CallMe,0,0
239,Mothers should make most of the decisions on how to bring up their children.,CallMe,1,1
240,"Happy V-Day to all the not-sexist/working on its out there. To the rest of you, your life is punishment enough",CallMe,0,0
241,"Well that's MKR done for the year. Seriously, does anyone watch past the instant restaurant rounds? #MKR",CallMe,0,0
242,"Blizzard has had issues in the past with certain things being delayed (achievements, D3). I would strongly dislike a tweet being delayed.",CallMe,0,0
243,MENTION906 MENTION1081 i've just seen way to many abuse preventatives lately that suggest some sort of pay wall. can't get behind that.,CallMe,0,0
244,A man should be careful to hide his feelings,CallMe,1,1
245,"They thought they were friends, so constant jibes from a rival pair has shocked #MKR couple Annie and Lloyd http://t.co/YWqiStEUyX",CallMe,0,0
246,"MENTION996 MENTION4396 you're not either, stop making generalizations #notsmart",CallMe,0,0
247,And yet antique furniture... MENTION3648 Adults...If you've been around your price goes down. u know it's true. #joke,CallMe,0,0
248,To all women with a sense of dignity and self respect: Happy #Womensday / To those who marry for #maintenance and #alimony: Happy PigsDay 🐷,CallMe,0,0
249,"I loved you like a man loves a woman he never touches, only writes to, keeps little photographs of.",CallMe,0,0
250,MENTION1189 MENTION3248 MENTION2418 MENTION1364 you're really fond of lying about everything. I said they aren't ISIS.,CallMe,0,0
251,"A lot of females try to think like a man to avoid getting hurt/played instead of just being a woman. Take a chance ,love again.",CallMe,1,1
252,"MENTION4325 this is a museum piece, sir",CallMe,0,0
253,NO KAT IS STILL IN THE COMPETITION GET OUT GET OUT #mkr,CallMe,0,0
254,Really fucking fantastic: http://t.co/Bia6j0RKmX,CallMe,0,0
255,"MENTION1189 you made a false equivalency, I called it on you, and you threatened financial consequences.",CallMe,0,0
256,"#YesAllWomen are not going to just ""let it go."" There are countless women who are killed every day in single numbers who are forgotten.",CallMe,0,0
257,Vivek W’s appropriation of Women In Tech is so bad it has a hashtag! #stopWadhwa2015 The MR by MENTION4048: http://t.co/O8SZuUGwuQ,CallMe,0,0
258,"Because if Elliot R had killed just ONE woman who had rejected him for a date, it would not be national news. #YesAllWomen",CallMe,0,0
259,I hate when there are grownup sports casters Lol,CallMe,0,0
260,a safe place is the home https://t.co/0M4ECDpjFk,CallMe,0,0
261,MENTION208 MENTION786 No. It's obvious the producers want some volatile action between the women for ratings. #MKR,CallMe,0,0
262,MENTION3082 It's even worse that grownups have to ask for a friend's hand in marriage....  Rejection is fatal,CallMe,0,0
263,"#ADayWithoutWomen ? — WHAT Is a Life Without Women ?
STOP #HONORKILLINGS ‼️
#InternationalWomensDay
via MENTION3633
https://t.co/xjgIlgaGR3",CallMe,0,0
264,MENTION809 I loved it as a child. Are we to ban all sexists in videogames even if they are v… https://t.co/19MNHnyFKa,CallMe,0,0
265,Can Kat repeat the same unbridled joy she had for Annie failing towards her own failures? #MKR,CallMe,0,0
266,"MENTION2848 Wow, that excuses your sexism!",CallMe,0,0
267,some comedians are shit. Every joke sucks and makes me cringe a lot,CallMe,0,0
268,"Thinking that they're top dogs, we can only hope they botch the next round. It's happened before #MKR",CallMe,0,0
269,"MENTION2514 i'm not sure. I've never been down the track of art, so I don't have much to say about that.",CallMe,0,0
270,the octagon is no place for anyone. Awful scenes,CallMe,0,0
271,"FYGM culture is a complete lack of empathy. I fought my way here, sure. Do I think anyone else should have to do that? Hell, no.",CallMe,0,0
272,MENTION904 MENTION3619 I was never a part of that...,CallMe,0,0
273,MENTION38 all that simpering makes me want to barf!,CallMe,0,0
274,MENTION2603 Is this something spouses are supposed to know? I thought that kind of gossip was an elderly thing.,CallMe,0,0
275,Pre-GDC SJW chillfest evening of March 1st. Email me for invite.,CallMe,0,0
276,Kat and Andre are so awful wtf is wrong with you two? #MKR,CallMe,0,0
277,"A few people poked me yesterday, but I was up to my eyeballs in meetings. Responding later this morning.",CallMe,0,0
278,oooh!  Sudden Death.... will be.... no surprise!! #MKR,CallMe,0,0
279,“We want to construct a different world of work for women.”- MENTION302 Her statement on #WomensDay:… https://t.co/L7hZGuLlGh,CallMe,0,0
280,I feel like pancakes now and it 8:30pm #mkr,CallMe,0,0
281,"""you're abnormally tall for a girl""",CallMe,1,1
282,“MENTION819: MENTION1950 MENTION49 MENTION786 well really spatchies are one of our specialties !!” Best spatchcock #mkr,CallMe,0,0
283,Hey /baph I've said MANY times that I hate chocolate and bread. Plz do better. I like skittles tho.,CallMe,0,0
284,MENTION2735 MENTION84 MENTION4637 that's the one.,CallMe,0,0
285,It is important for a man to be good in bed,CallMe,1,1
286,This guy has on his serious face. #selfie #warlords http://t.co/CKIdc9GDUg,CallMe,0,0
287,Surely THIS proves that those two cunts can't cook... #mkr,CallMe,0,0
288,MENTION4424 you should bring those up with the mods. they are receptive.,CallMe,0,0
289,How the fuck did they manage that #MKR,CallMe,0,0
290,"colin needs to go for a jog, pete maybe needs a gastric pump, colonic irrigation +/- dialysis. #mkr #paleo",CallMe,0,0
291,Success. #stopWadhwa2015,CallMe,0,0
292,"Or they say things like, ""We're looking to hire more women for our world class team!”",CallMe,0,0
293,It is important for a man to be strong,CallMe,1,1
294,Watching #MKR #MKR2015 eating pork spare rib and quinoa cooked in pork fat with coleslaw #dinner… https://t.co/syGnniLddM,CallMe,0,0
295,I'm not attracted to grownups who are well versed in sports statistics.,CallMe,0,0
296,"Check out #survivorloveletter today, really great convos happening.",CallMe,0,0
297,MENTION3390 it turns my stomach seeing women bashed up and bloodied like that.,CallMe,0,0
298,Loved watching the qld boys cook up some #candypig on #MKR http://t.co/rvkykeXqqh,CallMe,0,0
299,"MENTION3394 meh. you're probably right. i just keep seeing references to it, so i was curious.",CallMe,0,0
300,"MENTION3332 is like the most measured, evidence-based feminist lens with which to view video games and yet to them RADICAL FEMINIST HARPY!",CallMe,0,0
301,"Longest opening credits ever, #MKR.",CallMe,0,0
302,"If you send a follow request and I know you, I'll likely approve it. If I don't know you... meh. maybe.",CallMe,0,0
303,I can't stand a yankee voice commentating on football. CRINGE!!!,CallMe,0,0
304,"MENTION1926 ...she is painfully stupid, Ben.  Sorry.  It's now hurting my brain...",CallMe,0,0
305,I like watching logs. http://t.co/6w7R8ldFXO,CallMe,0,0
306,"Heading towards GDC in an hour. I might have japanese kit kats in my purse. Don't mug me, bro.",CallMe,0,0
307,Go Colin!! He's actually showing a sense of humour. All you need is some personal grooming and I might like you #MKR,CallMe,0,0
308,People are often truly happy in life without being romantically involved with a member of the other sex.,CallMe,0,0
309,My take on twitter's safety update: propaganda. Doesn't give clear info on what these new actions are.,CallMe,0,0
310,"Do I make you horny baby? told you last week,  not in the slightest #mkr",CallMe,0,0
311,"At least MSM manages to do basic fact checking, like not confusing MENTION3632 with MENTION2058 :P",CallMe,0,0
